`,DistName,StateName,mean_RICEAREA_1000Ha_,mean_WHEATAREA_1000Ha_,mean_KHARIFSORGHUMAREA_1000Ha_,mean_RABISORGHUMAREA_1000Ha_,mean_SORGHUMAREA_1000Ha_,mean_PEARLMILLETAREA_1000Ha_,mean_MAIZEAREA_1000Ha_,mean_FINGERMILLETAREA_1000Ha_,mean_BARLEYAREA_1000Ha_,mean_CHICKPEAAREA_1000Ha_,mean_PIGEONPEAAREA_1000Ha_,mean_MINORPULSESAREA_1000Ha_,mean_GROUNDNUTAREA_1000Ha_,mean_SESAMUMAREA_1000Ha_,mean_RAPESEEDANDMUSTARDAREA_1000Ha_,mean_SAFFLOWERAREA_1000Ha_,mean_CASTORAREA_1000Ha_,mean_LINSEEDAREA_1000Ha_,mean_SUNFLOWERAREA_1000Ha_,mean_SOYABEANAREA_1000Ha_,mean_OILSEEDSAREA_1000Ha_,mean_SUGARCANEAREA_1000Ha_,mean_COTTONAREA_1000Ha_,mean_FRUITSAREA_1000Ha_,mean_VEGETABLESAREA_1000Ha_,mean_FRUITSANDVEGETABLESAREA_1000Ha_,mean_POTATOESAREA_1000Ha_,mean_ONIONAREA_1000Ha_,mean_FODDERAREA_1000Ha_,lat,lng
156,Jodhpur,Rajasthan,0.00025,39.52375,29.50675,0,29.50675,562.33425,0.0165,0,0.40075,3.211,0.0015,225.005,23.1845,44.22475,60.638,0,9.25225,0.0245,0.00825,0,125.01025,0,10.9005,0.4165,9.19925,9.61625,0.00325,6.98975,179.0325,26.2968,73.0351
157,Kota,Rajasthan,12.624,178.54275,57.69375,0,57.69375,2.43575,29.4895,0,2.62925,48.10875,0.38625,30.87175,3.99825,13.294,132.72925,0,0.0055,11.0095,0.02225,189.99725,330.7895,0.34175,0.0055,0.40725,3.2255,3.635,0.477,0.139,8.60225,25.1737,75.8574
158,Nagaur,Rajasthan,0,56.88625,51.15225,0,51.15225,473.837,0.35325,0,9.831,22.2645,0.00125,347.4005,12.83725,53.913,71.922,0,0.11625,0.39675,0.002,0,166.1995,0.02,15.15575,0.39375,5.508,5.90275,0.01175,4.20725,158.74425,26.9873,73.7389
159,Pali,Rajasthan,0.009,64.4275,90.519,0.00075,90.51975,98.944,25.6605,0,7.04375,25.019,0.1545,67.222,2.563,97.1355,64.61675,0,2.6115,0.0355,0.00075,0.00225,166.69375,0.00125,13.0675,0.57175,1.17275,1.74425,0.01475,0.22225,60.119,25.4552,73.4194
160,Swami Madhopur,Rajasthan,3.067,121.64825,25.63525,0,25.63525,163.5805,1.9385,0,6.77075,51.3045,1.25225,10.06175,21.469,19.99025,174.9685,0,0.003,3.45325,0.0005,1.77,216.32475,0.49325,0.03025,0.363,1.8665,2.24525,0.04975,0.15725,16.07725,26.8106,73.7685
161,Sikar,Rajasthan,0.0075,68.24225,0.0545,0.00025,0.0545,269.81825,0.06025,0,21.30225,46.95125,0.05,80.28025,12.66425,0.68425,40.86,0,0.0035,0.07375,0.00025,0,52.36925,0.05025,0.23025,0.30025,5.57875,5.8775,0.00725,4.28775,96.22175,27.6624,75.0280
162,Sirohi,Rajasthan,0.03,26.9025,4.53125,0.08125,4.612,19.92325,25.5835,0,1.74,4.70275,0.63175,15.38775,3.6845,13.472,20.75675,0,18.939,0.011,0,0.00025,53.124,0.003,3.24475,0.224,1.7085,1.93175,0.1185,0.08425,19.72875,24.8114,72.8300
163,Tonk,Rajasthan,0.00825,80.6345,93.0015,0,93.0015,41.58625,16.79125,0,12.151,48.704,0.046,42.149,18.8725,12.96975,135.697,0,0.02075,4.051,0,0.11225,173.96525,0.3925,0.49025,1.29625,2.563,3.858,0.026,0.128,14.88325,26.1223,75.6632
164,Udaipur,Rajasthan,9.90375,85.991,17.40175,0,17.40175,0.50675,230.50025,0,19.84775,21.47675,2.825,21.457,7.401,6.06825,13.6745,0,0.02775,0.335,0.00525,12.04225,41.6375,2.8745,4.12425,0.28175,1.65725,1.93925,0.0325,0.158,20.606,24.5787,73.6863
165,Gurdaspur,Punjab,179.43475,210.324,0.0025,0,0.0025,0.0775,14.568,0,0.415,0.69,0.01025,4.652,0,3.695,3.035,0,0,0.223,0.2475,0,6.8845,20.0725,0.33,4.55175,2.479,7.029,0.366,0.013,32.567,31.9037,75.2276
166,Amritsar,Punjab,295.125,349.45,0.05,0,0.05,0.545,8.375,0.015,0.1275,0.9375,1.0225,3.23675,0.005,4.335,12.3025,0,0,0.02775,1.4125,0,17.42225,6.905,4.1225,3.65275,7.909,11.56125,1.99075,0.0625,61.102,31.6357,74.8787
167,Kapurthala,Punjab,98.6,108.775,0,0,0,0.05,4.7,0,0.0275,0.055,0.04575,0.2285,1.9025,0.295,0.815,0,0,0.00775,1.4625,0,4.37275,3.945,0.1525,1.333,8.44325,9.7765,4.6215,0.01425,16.16,31.3856,75.3053
